RK,TIERS,PLAYER NAME,TEAM,POS,AGE,BEST,WORST,AVG.,STD.DEV,ECR VS. ADP
1,1,Josh Allen,BUF,QB1,29,1,3,1.6,0.8,-
2,1,Lamar Jackson,BAL,QB2,28,1,3,2.1,0.6,-
3,1,Jayden Daniels,WAS,QB3,24,1,6,2.6,1.2,-
4,1,Joe Burrow,CIN,QB4,28,3,11,4.8,1.8,-
5,2,Jalen Hurts,PHI,QB5,26,4,14,6.1,2.3,-
6,2,Ja'Marr Chase,CIN,WR1,25,3,8,6.5,1.6,-
7,2,Justin Jefferson,MIN,WR2,26,4,10,7.6,1.8,-
8,2,Patrick Mahomes II,KC,QB6,29,6,22,9.3,4.8,-
9,2,CeeDee Lamb,DAL,WR3,26,7,21,12.6,4.3,-
10,2,Bijan Robinson,ATL,RB1,23,7,18,13,3.8,-
11,3,Malik Nabers,NYG,WR4,22,5,21,13.7,4.2,-
12,3,Justin Herbert,LAC,QB7,27,7,31,13.8,7.5,-
13,3,Jahmyr Gibbs,DET,RB2,23,8,21,15.5,3.6,-
14,3,Caleb Williams,CHI,QB8,23,7,36,17.4,7.8,-
15,3,Amon-Ra St. Brown,DET,WR5,25,10,28,18.5,5.8,-
16,3,Bo Nix,DEN,QB9,25,11,44,18.6,8,-
17,3,Drake Maye,NE,QB10,22,8,39,18.9,8.7,-
18,3,Puka Nacua,LAR,WR6,24,9,29,18.9,5.3,-
19,3,C.J. Stroud,HOU,QB11,23,10,39,19,9.2,-
20,3,Brian Thomas Jr.,JAC,WR7,22,12,26,19.8,4.2,-
21,3,Ashton Jeanty,LV,RB3,21,13,27,19.9,3.9,-
22,4,Nico Collins,HOU,WR8,26,16,29,24.4,4.2,-
23,4,Drake London,ATL,WR9,24,20,36,26.7,4.9,-
24,4,Brock Purdy,SF,QB12,25,14,76,27.4,15.4,-
25,4,Jordan Love,GB,QB13,26,13,58,27.8,14.7,-
26,4,Saquon Barkley,PHI,RB4,28,19,38,28.3,5.8,-
27,4,Baker Mayfield,TB,QB14,30,15,50,28.7,9.9,-
28,4,Brock Bowers,LV,TE1,22,13,43,29,9.3,-
29,4,De'Von Achane,MIA,RB5,23,23,41,30.2,5.2,-
30,4,Kyler Murray,ARI,QB15,27,14,78,30.3,16.4,-
31,4,Ladd McConkey,LAC,WR10,23,21,39,30.4,4.3,-
32,5,A.J. Brown,PHI,WR11,28,24,41,33.9,4.9,-
33,5,Garrett Wilson,NYJ,WR12,25,24,45,34.8,4.7,-
34,5,Jaxon Smith-Njigba,SEA,WR13,23,24,50,34.9,6,-
35,5,Marvin Harrison Jr.,ARI,WR14,22,31,47,36.9,4.1,-
36,5,Breece Hall,NYJ,RB6,24,23,59,37.9,8.4,-
37,5,Trey McBride,ARI,TE2,25,20,47,38.8,6.9,-
38,5,Trevor Lawrence,JAC,QB16,25,18,64,39,14,-
39,5,Omarion Hampton,LAC,RB7,22,26,74,39.7,10.7,-
40,5,Bucky Irving,TB,RB8,22,30,65,40.6,9,-
41,5,Jonathan Taylor,IND,RB9,26,28,67,41.2,11.3,-
42,5,J.J. McCarthy,MIN,QB17,22,24,58,42.2,11.7,-
43,5,Tee Higgins,CIN,WR15,26,34,56,42.2,4.6,-
44,5,Travis Hunter,JAC,WR16,22,29,57,42.9,6,-
45,5,Tetairoa McMillan,CAR,WR17,22,27,99,44.5,13.6,-
46,5,Rashee Rice,KC,WR18,25,30,62,45.5,8.5,-
47,6,DeVonta Smith,PHI,WR19,26,43,66,50.9,5.9,-
48,6,Kyren Williams,LAR,RB10,24,30,72,51.2,10.9,-
49,6,Jared Goff,DET,QB18,30,25,70,51.5,10.9,-
50,6,Zay Flowers,BAL,WR20,24,46,75,54.5,8.6,-
51,6,Dak Prescott,DAL,QB19,32,29,89,54.6,12.6,-
52,6,Sam LaPorta,DET,TE3,24,44,61,54.8,5.2,-
53,6,James Cook,BUF,RB11,25,37,74,55,10.9,-
54,6,DK Metcalf,PIT,WR21,27,45,70,58,6.5,-
55,6,Rome Odunze,CHI,WR22,23,43,87,58,12.8,-
56,6,Chase Brown,CIN,RB12,25,23,80,58.2,12.7,-
57,6,Michael Penix Jr.,ATL,QB20,25,24,95,58.2,16.8,-
58,6,Josh Jacobs,GB,RB13,27,39,91,59.7,13.9,-
59,6,DJ Moore,CHI,WR23,28,43,84,60.6,11.8,-
60,6,Terry McLaurin,WAS,WR24,29,47,77,61.6,8.6,-
61,6,Cameron Ward,TEN,QB21,23,34,90,61.9,12.7,-
62,6,Jordan Addison,MIN,WR25,23,49,82,62.1,8.2,-
63,7,TreVeyon Henderson,NE,RB14,22,47,75,62.7,8.5,-
64,7,Kenneth Walker III,SEA,RB15,24,43,92,64.5,11.7,-
65,7,Jaylen Waddle,MIA,WR26,26,48,99,65.1,11.9,-
66,7,Xavier Worthy,KC,WR27,22,47,96,66.1,11.4,-
67,7,Christian McCaffrey,SF,RB16,29,36,86,67,12.2,-
68,7,Chris Olave,NO,WR28,25,43,99,67.3,15.4,-
69,7,George Kittle,SF,TE4,31,53,109,69.4,13.6,-
70,7,Justin Fields,NYJ,QB22,26,54,89,69.5,9.3,-
71,7,T.J. Hockenson,MIN,TE5,28,58,110,70.3,12.1,-
72,7,Jameson Williams,DET,WR29,24,54,87,70.4,10,-
73,7,Derrick Henry,BAL,RB17,31,43,100,73,12.7,-
74,7,Emeka Egbuka,TB,WR30,22,45,107,73.5,13.2,-
75,7,Tyler Warren,IND,TE6,23,61,89,74.9,9.2,-
76,7,Bryce Young,CAR,QB23,24,48,116,76.5,16.2,-
77,7,Colston Loveland,CHI,TE7,21,65,94,77.9,8.4,-
78,7,Kaleb Johnson,PIT,RB18,21,55,106,80,14.9,-
79,7,George Pickens,DAL,WR31,24,58,108,80.5,12.5,-
80,7,RJ Harvey,DEN,RB19,24,55,113,82,13.7,-
81,7,Tyreek Hill,MIA,WR32,31,37,105,82.1,13.3,-
82,7,Tua Tagovailoa,MIA,QB24,27,40,101,82.9,12.9,-
83,7,Quinshon Judkins,CLE,RB20,21,67,118,83.5,12.6,-
84,8,Jerry Jeudy,CLE,WR33,26,63,105,83.7,11.1,-
85,8,Davante Adams,LAR,WR34,32,52,116,85.2,16.1,-
86,8,Chuba Hubbard,CAR,RB21,26,64,105,87.5,9,-
87,8,Mike Evans,TB,WR35,31,58,107,88.7,11.1,-
88,8,Brandon Aiyuk,SF,WR36,27,64,113,89.5,12.4,-
89,8,David Njoku,CLE,TE8,29,73,117,90,14.4,-
90,8,Sam Darnold,SEA,QB25,28,76,103,90.7,5.1,-
91,8,Tucker Kraft,GB,TE9,24,69,140,91.9,18.9,-
92,8,Mark Andrews,BAL,TE10,29,65,131,94,20.3,-
93,8,David Montgomery,DET,RB22,28,76,116,94.7,10,-
94,8,Matthew Golden,GB,WR37,22,68,119,98.4,15.9,-
95,8,Joe Mixon,HOU,RB23,29,77,121,98.5,10.9,-
96,8,Ricky Pearsall,SF,WR38,24,67,125,98.9,13.6,-
97,8,Luther Burden III,CHI,WR39,21,78,118,99.1,11.3,-
98,8,Dalton Kincaid,BUF,TE11,25,79,140,100.5,15.4,-
99,8,Alvin Kamara,NO,RB24,30,86,142,102.1,11.1,-
100,8,Chris Godwin,TB,WR40,29,77,121,102.5,11.1,-
101,8,Khalil Shakir,BUF,WR41,25,80,128,104.5,11.9,-
102,8,Josh Downs,IND,WR42,23,85,133,104.8,13.4,-
103,8,Courtland Sutton,DEN,WR43,29,74,127,106.1,14.6,-
104,8,Anthony Richardson Sr.,IND,QB26,23,87,177,106.5,21.6,-
105,8,Jayden Higgins,HOU,WR44,22,75,142,108.3,16.9,-
106,8,Jayden Reed,GB,WR45,25,85,144,108.3,14.9,-
107,8,Tony Pollard,TEN,RB25,28,78,129,109.3,11.3,-
108,8,Tre' Harris,LAC,WR46,23,84,134,109.6,13.3,-
109,9,Jaxson Dart,NYG,QB27,22,72,142,99.1,17.5,-
110,9,Michael Pittman Jr.,IND,WR47,27,94,124,110.3,7.5,-
111,9,Evan Engram,DEN,TE12,30,81,146,112,18.1,-
112,9,D'Andre Swift,CHI,RB26,26,94,134,112.5,10,-
